year,adjective,keyword,text
1898,large,muskrat,"large muskrat swimming past within a yard of him. the ripple caused by the muskrat surrounded the duck and spread beyond him, but the bird's eyes were fixed"
1888,large,opossum,"that he was not the only occupant of the fallen tree. a fine large opossum had taken refuge in one of the upper branches, and sam used his rifle"
1856,large,otter,"came to a large lake; on looking about, he discovered a very large otter on an island. he thought to himself,""his skin will make me"
1856,large,otter,"came to a great lake, and on looking about he discovered a very large otter on an island. he thought to himself,""his skin will make me"
1974,large,otter,"feeding station. we waited to observe tool use. at long last a large otter came down, felt the abalone on the rock, pulled at them and then"
1848,large,panther,", to his amazement and alarm, the fiery, glaring eyeballs of a large panther, crouched on a neighboring tree, and just in the act of springing."
1875,large,porcupine,"presently i heard something in the near bushes, and in a moment a large porcupine came into view. i thought that he, too, was looking for water"
1912,large,porcupine,", large lizards (varanus), various apes and monkeys, and a large porcupine (hestrix crassispinus), and several small mammals, such as otters (lutra"
1859,large,sturgeon,"good spirits. confound the fish!""bim made this exclamation when a large sturgeon leaped over his head and splashed a quantity of water into the boat."""
1838,large,sycamore,"instant a bolt of lightning shot from the heavens, and lighting upon a large sycamore which shaded a part of the temple court, clove it in twain. the"
1848,large,sycamore,"a bolt of lightning shot from the heavens, and, lighting upon a large sycamore which shaded a part of the temple court, clove it in twain. the"
1848,large,sycamore,"at the meeting of three streets, and beneath the dark shade of a large sycamore tree. the spot was retired as the street was but little frequented, though"
1880,large,sycamore,"had placed its nest in the lowest twig of the lowest branch of a large sycamore, immediately over a great thoroughfare, and so near the ground that a person"
1884,large,sycamore," bee tree run.  here, just at the foot of a large sycamore, and among its roots, was fastened a curious boat, made of a"
1888,large,sycamore,"it exceedingly dangerous to travel in daylight in this region; and seeing a large sycamore log that was hollow, he crawled into it. the february air was keen"
1838,large,tortoise,", nevertheless, what greatly astonished us, that the islands abounded in the large tortoise of the gallipagos, one of which we saw in the canoe of too-wit."
1846,large,wolf,"his mind than intended for the car of the trumpeter. it is a large wolf, effendi l' said the man as he drew near and gazed on the"
1870,large,wolf,"things. and it was while walking thus that he did not observe a large wolf advance to the edge of the gully, look down, and then whisk back"
1993,large,wolf,would have seen the figure of a very large wolf. or was it a wolf? for when it reared up in the darkness its pointed ears seemed almost to
1856,large,woodpecker,"was badly bruised, and at his very wit's end, when a large woodpecker flew past and lit on a tree. it was a bird he had known"
1856,large,woodpecker,"the blows which the manito kept making at him. at that moment a large woodpecker (the ma-ma) flew past, and lit on a tree.""manabozho"
1835,lofty,basswood,"the mountain ash, the aromatic hemlock and the lofty basswood. this sequestered retreat, with its fresh aspect and sweet exhalations, afforded"
1934,lofty,boxwood,suddenly to brushing their garments and arranging their cravats in the shelter of the lofty boxwood hedge that stood between them and the gardens of the chateau. argandeau sighed and
1846,lofty,chestnut,in life-blood through every leaf. orange and umbered brown no longer clothed the lofty chestnut or the drooping elm. the gnarled oaks stretched their scorbutic arms; the frozen
1872,lofty,chestnut,"right glad to go. among the maple's crimson-mottled leaves and in the lofty chestnut's brilliant glow there is no sign of anything that grieves. ah, well"
1860,long-legged,heron,"lake float flotillas of wild swans, fleets of black ducks, and the long-legged heron wades far out from the shore to catch his morning's breakfast. as i"
1872,long-legged,heron,", and thus lifting up his hunched shoulders and looking the picture of a long-legged heron standing in the water,""mr. anderson, you and our young and happy"
1997,luminous,beetle,"the swing creaks on austin's porch, a luminous beetle swings ferociously over the clematis, insects swarm to the golden holocaust of the"
1856,lusty,elk,"him to get on, such a huge and lusty elk was he by his own request. presently, as he dashed past an"
1938,luxuriant,chestnut,", a modest, patient man who loves trees, eagerly showed reporters four luxuriant chestnut trees on the new jersey estate of success coach walter boughton pitkin. then he"
1976,luxuriant,chestnut,"disturb the monotonous platitude of its horizon. a serene, dead-straight alley of luxuriant chestnut trees stretched from the little castle to the country road. to the left stood"
1873,luxurious,lizard,"fletcher, with his hat over his eyes, lay sunning himself like a luxurious lizard, as he watched the face that grew daily fairer in his sight, and"
1896,magnificent,thistle,"in earnest or whether he meant it in fun when he sent us a magnificent thistle, with the suggestion that we plant it in our lawn. but, out"
1897,majestic,bison,him into manlier reflections. it was one of the forest highways of the majestic bison opened ages before into what must have been to them nature's most gorgeous kingdom
1841,masterful,cuckoo,", can not travel in it two: yonder masterful cuckoo crowds every egg out of the nest, quick or dead, except its"
1896,meditative,snake,"to my feet, but found, alas, he was charmed by a meditative snake that lay near me in the scented grass. harte, bret, 1836-1902:"
1854,miraculous,deer,"some twelve years before in the forest of senlis, he had encountered a miraculous deer, which had survived to display the golden collar with which it had been decorated"
1848,native,buckeye,". i saw hundreds of acres covered with the native buckeye, the most beautiful tree of the forest -- if, indeed, any"
1920,native,chestnut,creeks flowing between masses of vegetation riotously spreading over swampy lowlands. high over native chestnut trees climbed and rambled the flowering pohue (convolvulus); along the highway an
1835,native,clematis,assisted two little barefoot girls to-day to train a native clematis (a pretty species) over the logs of their hut. there is
1957,Native,cypress,"by refugees and a high birth rate.""native cypress grows too slowly,""american forestry consultant paul j. zehngraff explained."""
1973,native,deer,"225,000 to 433,000, and most of them go to the texas ranches where native deer and exotics abound. no one, however, has done a better job of"
2002,native,muskrat,"the nutria,""according to mccann's report. nutria also compete with native muskrat and waterfowl. * canada geese. remember when it was cool-a rarity-to see a canada"
1999,native,parrot,"people to learn that, until the beginning of the twentieth century, a native parrot flourished in the eastern united states, ranging as far north as new york and"
1993,native,trillium," it works the other way round as well, of course. a native trillium from the united states is an exotic in europe. but further than this,"
1850,native,warbler,"wild fowl awaking in the forests, with occasionally the merry chaunt of some native warbler, arousing to the day, spake also in the language of encouragement. on"
1941,native,wild,"to washington, d.c., in the space of two years. the pure-blood native wild horse of the pampas, is as scarce in the pampas today, as is"
1997,new,birch,"not all the way to arizona, but somewhere: someplace. # the new birch leaves are rattling in the breeze. she will climb the ridge and look down"
1880,new,clover,"that time a good dressing of lime. as we try to have a new clover field every year, we get all around the farm in six or eight years"
1888,noble,cypress,"swamps of barataria, where he had seen some noble cypress forests tantalizingly near to navigation and market, but practically a great way off"
1856,noble,trout,"that while you were in, you never thought for a moment of the noble trout that inhabit it.""""i certainly did not,""said the other"
2002,nocturnal,lizard,"nothing came in here - no animals, no birds - not even a nocturnal lizard, bat, or moth. #""i've got a theory too,"
1875,old,birch,"caught in the deep snow. his home is in the trunk of some old birch or maple, with an entrance far up amid the branches. in the spring"
1876,old,birch,"caught in the deep snow. his home is in the trunk of some old birch or maple, with an entrance far up amid the branches. in the spring"
1959,old,birch,"narrowed, as if it faced the trail squarely. he edged around the old birch to get behind it, and from that side there was no hole, just"
1972,old,cactus,"in chaparral, and the hillsides stood gray-green with old cactus. the stunted trees were lower than the giant bushes and yucca. manuel"
1886,old,catalpa,"for the night. they usually roosted in an old catalpa tree near the back gate, earlier in the season; but as christmas"
1907,old,catalpa,"been cut, and stood in corn. my old catalpa in the fence corner beside the road and the bartlett pear under which i"
1839,old,chestnut,"guided them on their way. they soon arrived at a clump of fine old chestnut trees, whose gnarled and farspreading branches betokened sylvan antiquities of no ordinary worth."
1860,old,chestnut,"the same hard tasks -- together they had built their playhouse beneath the same old chestnut tree -- together, hand in hand, had they wandered over the rocky hills"
1863,old,chestnut,"the grass.""hendie was soon established on a flat stone under the old chestnut trees, in a happy oblivion of mahala's injustice, and her little sister"
1875,old,chestnut,"as it was called. the proprietor was aroused from his slumbers under the old chestnut tree at the end of the house, where he had been vainly endeavoring to"
1912,old,chestnut,call of his memory. he seemed to be standing once more beneath the old chestnut grove where they had plighted their troth in the twilight under the stars; while
1920,old,chestnut,far away. the three happy children could see them way up in the old chestnut tree over on the edge of their neighbour's wood. in the fork of
1927,old,chestnut,"as i have never heard a blackcap sing before or since in the great old chestnut tree said to have been planted by francois premier, on the high terrace at"
1940,old,chestnut,"148224 last week a hardy old chestnut, still to be cracked, was picked over for the umpteenth time. picker"
1942,old,chestnut,the emergency rose too suddenly to permit the mitten to be removed. the old chestnut tree that had been struck by lightning four times was the north pole. the
1945,old,chestnut,"looked out. there lay the courtyard of the hotel lancaster. a huge old chestnut tree stretched its naked arms upward toward the wet sky.""this rain,"
1955,old,chestnut,with other people somehow and at communion with a whole self in himself. |p261the old chestnut tree on brattle street had flowered and shed its leaves five times since orlando fosca
1998,old,chestnut,"two of them out on""the singing way,""under a huge old chestnut in the morning sun, were surely one of the most lyrical sights in all"
1877,old,cottonwood,"the beach, and seated ourselves on a white old cottonwood that had floated out of the columbia river, and been cast by the"
1937,old,cottonwood,"by ash and box elder, with a wide old cottonwood standing alone in the centre, | a tall man was rapidly loading a"
1939,old,cottonwood,"left from the tussle at the foot of the old cottonwood, some nice dun-colored shirts torn to rags, evidence enough for the ofers"
1835,old,cypress,see -- to the little pond just beyond that old cypress -- see the log half rolled into the pond -- look at the end
1919,old,cypress,"disappeared behind one of the small thick clumps of old cypress trees draped with great curtains of spanish moss, which mark the presence of"
2005,old,cypress,"we had seen the bird.  another great old cypress, perhaps seven  feet in diameter, stood not far from  where"
1851,old,elm," what was liberty tree?  inquired clara.""it was an old elm tree,""answered grandfather,""which stood near the corner of essex street"
1855,old,elm,"a scream, marian, dear -- what was it?""marian pointed to the old elm tree outside the cottage fence, under the shade of which stood the poor stroller"
1876,old,elm," echoing ishmael, reeling and supporting himself against the trunk of the bare old elm tree.  it was most unexpected, sir; mist'ess sat up most all"
1889,old,elm,"moaning over the fields and rushed against their dwelling, which, saving one old elm tree that bent its protecting branches over it, stood all alone, exposed to"
1931,old,elm,"the road by which he had come. there, suspended from a fine old elm tree, like a tavern sign, was a white notice hoard with the words"
1920,old,geranium,tamarisk and poppies and trellised roses and one woody old geranium with a stalk like a crab-apple trunk and growth enough to cover half a
1922,old,grizzly,yet vibrant and ecstatic with renewed life. the old grizzly bear had left his winter lair; and good feeding was putting the fat
1961,old,grizzly,"involving a vicious wolverine, a great big nasty old grizzly bear, a number of extraordinarily large and healthy timber wolves who have obviously"
1990,old,hackberry,"the barn out back, then lounged under an old hackberry tree. at noon dinner he loaded up his plate with fried chicken and"
1831,old,hemlock,", and stood leaning in the shadow of an old hemlock, just on the summit of the hill. his brow was uncovered,"
1835,old,hemlock,", and winging to his perch on the far-up old hemlock, where they may see his reverend white head gleaming like a snow-flake among"
1839,old,hemlock,"' why, i calculate to be about this old hemlock till i get it down, colonel.' nonsense, you ninny!"
1857,old,hemlock,mistaken for the sighing of the breeze through the old hemlock in front of her window. even when gradually swelling in sound and volume
1869,old,hemlock,"delight and wonder burst from both children. an old hemlock that hung slantwise over the water opposite was garlanded and interwoven, through all"
1880,old,hemlock,"of them. walking the other day in an old hemlock wood, i counted over forty varieties of these summer visitants, many of"
2006,old,hemlock,"house and sidewalk, overly shaded by a big old hemlock tree. anything that did manage to grow there the neighborhood dogs quickly dispensed"
1895,old,jackdaw,"various pets, left behind in the gardener's care. there was an old jackdaw, an especial favorite of his, a miserable owl, too, who had"
1912,old,lilac,old lilac bush that leans over my side gate and kissed my hand. old lilac shook a laugh of perfume all over us and i believe signaled the event at
1968,old,lilac,"years old. there, at the end of the porch, is the old lilac tree. everything is blurred with misty light, because there was a fog the"
1895,old,magpie,"was leaping about his feet, evidently asking for more games, and our old magpie was perched familiarly on his shoulder.""good-morning, joe,""i said"
1843,old,owl,"and midway, in the crumbling body of a dead ash tree sits an old owl, with his broad, goggling eyes, and the dry, white moss gathered"
1858,old,owl,"lived where there are many said he found in a large hollow tree an old owl, with several fishes he had laid up for his private eating. so,"
1921,old,owl," tell me, i prithee, little bird-woman, what is the wise old owl saying? has he a message for me? ""yes. and i"
1966,old,quail,"bit, but i won't do it any more tonight. if the old quail birds in the woods where elder calvin prayed, if those old birds had been"
1880,old,stork,"such a squawking you never heard. it keeps the devil away! the old stork sits up on one long straight leg, and with the other foot he hands"
1832,old,sycamore,"and myself, that i am about to record. we had reached an old sycamore on the bank of the brook, and had thrown our lines into a deep"
1834,old,sycamore,"a private and a parting interview.""to-night, then, at the old sycamore, as the moon rises,""he whispered in her ear, as sadly"
1835,old,sycamore,"we wander by the branch, mary?""""yes, to the old sycamore; it seems an age since i have seen it.""occupied with their"
1847,old,sycamore,"distant home, just a few paces from the village path, where the old sycamore stands, your daughter comes to the window, and looking upon the very moon"
1848,old,sycamore,"better. happy seventeen, then, was she who stood leaning against the old sycamore -- god keep her from the cold, stinging, unhappy experience of many of"
1848,old,sycamore,". in keeping with the hour and the scene, there glided beneath this old sycamore, in the checkered light which the moon made by stealing among the leaflets,"
1872,old,sycamore,"as suddenly as the thunder had come, came the wind. a solitary old sycamore, leaning over the water on the kentucky shore, a mile away, was"
1876,old,sycamore,"to take sight.""""that's so; but how's the old sycamore to help us?""""by giving us a point to take sight from"
1896,old,sycamore,"children' nd birds' nd flowers""- - bill, who was like the old sycamore that the lightning had struck, with the vines spread all around and over it"
1907,old,sycamore,"far corner of the back yard where the cabin was, under a big old sycamore tree. i ricollect how the key creaked when mary turned it, and how"
1914,old,sycamore,", at the foot of the late calvin humphries' lane.""an old sycamore tree, whose great girth gives evidence of the centuries it has seen, stands"
1931,old,sycamore,"their neighbors, who used to come to the farm to sit under the old sycamore and discuss politics with his father. these neighbors had been men who talked in"
1933,old,sycamore,"water trickled into the pool and the spots on the mottled trunk of the old sycamore tree which rose high above the casino roof, while he stood listening to the"
1935,old,sycamore,"the fincastle skeletons were lying there, within that rusty railing, under the old sycamore. the row of sandstone slabs, as yellow as old teeth and stained with"
1974,old,sycamore,"in off the blue water, a breeze that stirred the leaves of the old sycamore, lingered among the stiffer leaves of the oaks. the breeze cooled the water"
1980,old,sycamore,"i walk around sometimes just touching things. there are certain trees, an old sycamore where i can sit and feel the world breathe. one can feel such peace"
1986,old,sycamore,some fishermen who had camped on the river. i sat down on an old sycamore log and started thumbing through the leaves. on the back pages of the magazine
1997,old,sycamore,"a spot in the very back of the big yard, underneath a huge old sycamore tree. when we finished it was long past dark. my fingers were numb"
2005,old,sycamore,", but it's strange. the winter birds love to nest in your old sycamore and sing to us every morning when we have breakfast. some bad weather might"
1898,old,woodchuck,"above the yellow sand-bank like dragons, and under their protecting claws a sulky old woodchuck had digged a den long ago. he became more sour and ill-tempered as weeks"
1992,old,woodpecker,"a loss to know what to advise.""don't you hear that old woodpecker hammering on that dead pine? every time he begins to rap i'm going"
1851,ornamental,herbaceous,". it contains, however, two species of ornamental herbaceous plants. s.jlavescens, with yellow flowers, a native of siberia, and"
1853,perfect,bee,", or larva; from this state it changes to the shape of the perfect bee, which is said to be three days after finishing the cocoon; from the"
1867,perfect,bee,"visitor. he found both the larva and pupa, as well as the perfect bee, in the cells of both genera; so that either both kinds of bee"
1920,perfect,butterfly,adventure may be to pursue a new bird and the conquest to mount a perfect butterfly. but every boy has muscles and lungs which need the primitive joys and violent
1854,perfect,hemlock,"pine, a shingle tree, or a more perfect hemlock than usual, standing like a pagoda in the midst of the woods;"
1919,perfect,lilac,spring. her eyes drank in its beauty and then fell on two huge perfect lilac plumes on the bush nearest her. they were larger and lovelier than her own
1971,playful,hare,"of such""blissful creatures""as the""playful hare,""walking""far from the world""""as if life's"
1843,playful,squirrel,"? -- after resting the full hour i had been in chase of a playful squirrel, starting off at the crack of the rifle, and trying to prove by"
1874,powerful,bison,"devour any animals he can kill. he does not hesitate to assault the powerful bison; and on overtaking a herd, he will spring without hesitation on the largest"
1956,powerful,wolf,"ofernpty wanigans, lunged uncertainly at the first one then recognized ours. the powerful wolf leaped at the small window, smashing it. i dragged her down, wrenched"
1973,precious,antelope,", scimitar-horned oryx, and barasingh deer. there are also four varieties of precious antelope? addax, gemsbok, eland, and greater kudu. many of these animals"
1922,precious,beetle,", whole, without tearing it or hurting the precious beetle. the jabizri he put back into the box. then he spread the"
1964,precious,butterfly,", and an athletic young explorer sailed up the amazon in search of a precious butterfly. the argument, the characters, the particulars of the adventures, and even"
1983,rare,antelope,"his request, a special viewing was arranged of an arabian oryx, a rare antelope species being nurtured in captivity. <> <> sailors greet the queen  the 2"
1904,rare,butterfly,"caught watching mr. budd: they behaved like naturalists on the trail of a rare butterfly. in his efforts not to notice mr. budd, lethbury centred his attentions on"
1908,rare,butterfly,"am wondering if you have been able to secure a specimen of a very rare butterfly indeed, one which some naturalists believe is quite extinct. it is called'"
1920,rare,butterfly,"not move or speak: it was as if her words had been some rare butterfly that the least motion might drive off on startled wings, but that might gather"
2003,rare,butterfly,in working to save particular  habitats they take into account the needs of rare butterfly species.  relations between watchers and collectors: we assume that most users of
2002,rare,duck,"love. how terribly quaint. you are a rare duck - perhaps even an endangered species.""the mourners move en masse from"
2007,rare,heron,"made no comment on ernesto's offer because he was dead. like a rare heron displaced from her environment, olivia montefalco high-stepped regally into the heat and blare of"
1901,rare,mink,", trapped muskrat in the big meadow, a mile below, or the rare mink that hunted frogs in the brook, had any suspicion that such splendid fur was"
1861,rosy,clover,"was kathie broke upon me like a blushing summer morning, and a half-blown rosy clover reddened underneath her tread! 10. then i looked up at kathie, and"
1844,rosy,lilac,"will produce, no doubt, many fine varieties. camaieu is a pretty rosy lilac, distinctly striped with blush white, perfectly double, always opening well. font"
1844,rosy,lilac,"mathilde de mondeville is one of the sweetest of roses, of a delicate rosy lilac fading to blush, and blooms profusely. painted damask, in some soils may"
1851,rosy,lilac,"it is a fine plant for growing in masses. when the fine, rosy lilac flowers of this very beautiful plant are fully expanded, being produced in vast profusion"
1905,sleek,antelope,"city of men the insect had ever visited. just within the gate a sleek antelope was running a pop-corn stand, and a little further on a screech-owl stood upon"
1892,slim,cypress,"five year old child might have done. a slim cypress tree stood in her way; she grasped it in her arms, and"
1949,smart,squirrel,"and limped back to the shadow of my bench.""he's a smart squirrel, all right,""i tried to reassure myself.""he's a"
1834,solitary,antelope,"manes floating, and a trampling like thunder. imagine here and there a solitary antelope, or, perhaps, a whole herd, fleeting off in the distance,"
1827,solitary,birch,"hunters and hackwoodsmen to this wild and independent sort of life. amidst these solitary birch woods, whose stillness was seldom disturbed hy a deer, or even a hird"
1849,solitary,bittern,"is a small lake, the haunt of the solitary bittern, with water-snakes basking in the sun on the leaves of the pond-lilies which"
1874,solitary,bittern,"for a human foot. now and then a solitary bittern rose from the marsh, but, beyond a few water-rails, there were"
1993,solitary,cypress,"looms now, stood a sabra patch and a solitary cypress tree, next to which my clandestine meetings with anton took place. anton"
1997,solitary,elk,"steep, logged-off slope above this curve. a solitary elk could have kicked such gravel onto the road while crossing. i'm a"
1854,solitary,goose,"i heard the circling, groping clangor of some solitary goose in the foggy mornings, seeking its companion, and still peopling the woods"
1891,solitary,heron,"marshalled in the shape of a v, they made for alemoor. a solitary heron came quite near me, and tried his chance with the fish, but i"
1902,solitary,heron,"hoofs had the depth and resonance of drumbeats, and the cry of a solitary heron in the marsh seemed louder than its wont. he passed the rolling-house and drew"
1979,solitary,heron,"only the occasional buzz of a plane overhead, the passage of a solitary heron and a flock of black birds with white bills that henk said were coots from"
1859,solitary,sycamore,"view of each other. the place selected for the interview was beneath a solitary sycamore, on the margin of a brook, in the centre of a plain chosen"
1920,solitary,sycamore,"; and with this object i tethered her by the long riata to a solitary sycamore which stood in the centre of the road, the crossing of two frequented thoroughfares"
1836,solitary,warbler,"the lengthened pioupiou, which interrupt, like sighs, the music of that solitary warbler, without believing, that nature had revealed her adventure to the sublime la fontaine"
1880,solitary,warbler,"here many of the rarer species, such as the great-crested flycatcher, the solitary warbler, the blue-winged swamp warbler, the worm-eating warbler, the fox sparrow, etc"
1880,solitary,warbler,"species, such as the great-crested flycatcher, the solitary warbler, the blue-winged swamp warbler, the worm-eating warbler, the fox sparrow, etc. the absence of all"
1880,solitary,warbler,"the great-crested flycatcher, the solitary warbler, the blue-winged swamp warbler, the worm-eating warbler, the fox sparrow, etc. the absence of all birds of prey,"
1860,solitary,wasp,"from their instructions or of its imitating their actions is cut off. the solitary wasp, for example, is accustomed to construct a tunnelled nest in which she deposits"
1880,solitary,woodchuck,"mimic sky glance through the trees. as we approached the lake, a solitary woodchuck, the first wild animal we had seen since entering the woods, sat crouched"
1941,stealthy,skunk,"predatory world, she is an easy mark for the wily weasel and the stealthy skunk. all the same, she sets a pattern of industry for the nation in"
1900,strange,oriole,"pack thread. the final result looked something less like a bucket than some strange oriole's hanging nest.""it will hold water,""vowed betty, ready"
1852,strange,thrush,", ambitious and self-gratulatory, and proud. and then by turns came the strange thrush's note, saying, as if they knew it and had proved it,"
1944,strong,chestnut,"the first christian martyr is celebrated by chopping down the maio, a fine strong chestnut tree, and setting it up in the church piazza. woodcutters and young men"
1848,strong,cypress,"palm, so lone in its majesty; the strong cypress, so big, in every inch of its rugged bark, with the"
1851,strong,herbaceous,"may be appropriately planted among low shrubs, or strong herbaceous plants; and it will succeed in rather shady places, which renders it"
1954,strong,wolf,"in two days, the anonymous author of the diary decided to find a strong wolf to protect her from the pack. protection came at the customary price, first"
1880,superior,warbler,"grow to be quite large in autumn. the specked canada is a very superior warbler, having a lively, animated strain, reminding you of certain parts of the"
1865,sweet-scented,honeysuckle,"to have neither arbor nor trellis, - no sweet-scented honeysuckle clustering over an elaborate framework, - no parterre of beautiful flowers, glorious"
1874,sweet-smelling,juniper,"whole corner of the cabin was filled with logs of pine and fir, sweet-smelling juniper and manzanita to kindle with, and some splinters of pitch, riven from a"
1928,tall,basswood,"morning song. from the highest branch of his tall basswood tree he would sing his""hurry up song,""and his clear"
1882,tall,bulrush,". near him, on the top of a tall bulrush, sat the little fairy ting-a-ling. they had been talking together for some"
1865,tall,chestnut,"safety than he abandoned the reins to dora, while he hastily climbed a tall chestnut tree, and finally got a view of the bridge.""hooray!"""
1884,tall,chestnut,", as they came out at dusk to feed; there, upon that tall chestnut, you cruelly maimed your first captive squirrel. the old maples are even now"
1995,tall,chestnut,"graveled paths between the lawns and the dark crowns and straight light of the tall chestnut trees, between balls, seagulls and a fountain's extended, renewed fall of"
1835,tall,cottonwood,leaves are massed and rotting below; and the tall cottonwood sighs mournfully in the wind; while the dark and sullen river rolls oii
1873,tall,cottonwood,"; and throwing myself at the foot of a tall cottonwood, with the lariat of the mustang attached to my wrist, i determined"
1993,tall,cottonwood,"light was spreading, caressing the tops of the tall cottonwood trees under which the village women often sat and talked while pounding their deerskin"
2005,tall,cottonwood,grace of a cat in the crown of yonder tall cottonwood tree. witches. who are we to judge the world by laramie standards
1940,tall,cypress,"white portecochere, very tiny, pressed against a tall cypress hedge. there were rose bushes in front of the house. i went"
2006,tall,cypress,", but at midnight the forest slept. the tall cypress trees were mere silhouettes, their moss-clad limbs barely visible against the starlit sky"
1920,tall,elm,"wind, and in the clear starlight rebecca could see the shadows of the tall elm tree near the blacksmith shop, and the silvery line of the softly flowing river"
1984,tall,elm,"the wide windows in the back wall can be seen the top of a tall elm tree. vito de angelis, the maestro, is pacing about, slowly,"
1921,tall,fir,are turned into ravens and are perched in yonder tall fir tree hiding among my folk. strike the trunk of the tree three times
1931,tall,foxglove,", and here and there along the hedge a tall foxglove shook out its bells. the ground fell away so abruptly that he looked"
1927,tall,heron,"hedges and bathed in the shallow pools lying among the brambles; and one tall heron stood contemplatively in the midst. i gazed for a long time, and then"
1886,tall,lilac,"the cottage in the lane, where he found the little girl under a tall lilac bush, busy with the mud pies she was making, and talking to herself"
1943,tall,lilac,", fretworkon the porch where the bare twigs of the wistaria writhed, the tall lilac bushes, the curtained windows -- she knew so well just what she could see"
1946,thirsty,cottonwood,a little willow grew along them and sometimes a thirsty cottonwood. and nowhere was there an indian or a lodge. the buffalo grazed
1854,unrivalled,warbler,: emma gillingham bostwick. from the poetical works (1854) sing on! unrivalled warbler! never more will mortal ear be blessed by such a strain -- its sweet
1966,unspoiled,birch,"the areas we had cut in winter. we were deep in that typically unspoiled birch forest lyricized in russian novels, and i began to understand the russians' fierce"
2006,warm,honeysuckle,"earth and the faintest trace of warm honeysuckle vines. honeysuckle. quinn froze, nose locked on target like a dog on point,"
1948,wary,deer,"blind buildings clustering about the mill grew green moss on their shingles, the wary deer once more ventured out of the forest to drink shyly at the deserted ford."
1881,watchful,vulture,"the sky and land; the lean steeds snuff the desert wind; the watchful vulture soars behind, but nothing moves upon the plain; the keen eyes search the"
1992,white-flowered,hellebore,new hellebores are the picotee hybrids now being bred in england: imagine a white-flowered hellebore with each petal delicately edged in purple. with all of their virtues of flower
1950,whitish,lizard,"i discovered, was a ghekko, a fat, lazy, friendly little whitish lizard, almost transparent. the ghekkos' favorite dish is mos- | quitoes? insects"
1948,wide,elm,? greene it was who had been picked to face the new commander-inchiefunder a wide elm tree and speak the welcome of new england. greene it was who brought to
1881,wide,heron,"ne'er shall see thee rise in airy spirals to the clouds, while the wide heron labors far below, till when almost a speck, with sudden swoop, like"
1875,wonderful,antelope,"plain in bold relief against the sky, and shin-au-av knew it was the wonderful antelope with many eyes which stone shirt kept for his watchman, filling' s cascade-tn"
1881,wonderful,antelope,"bold relief against the sky; and cin-au' - aev knew it was the wonderful antelope with many eyes, which stone shirt kept for his watchman; and he proposed"
1946,wonderful,butterfly,"said he heard them calling in the night. and there was that same wonderful butterfly, yellow with black markings, that she had seen here yesterday. it was"
1916,wonderful,cactus,of the room. bud tanner got me some wonderful cactus blossoms for my brass bowl. i wish i could send you some.
1851,wondrous,whale,"any possible danger from encountering them; that in his poor opinion, the wondrous whale was but a species of magnified mouse, or at least water-rat, requiring only"
1991,yellow-striped,lizard,"of sawdust, windows empty, front door hanging by one hinge. a yellow-striped lizard sunning on the porch told her plain as words that nobody was anywhere near."
1882,TRUE,chestnut,"not a mulberry, not a hickory, or a beech, or a true chestnut. these facts would seem to indicate that the forest flora of north america entered"
